date,web_traffic,page_views,clicks,impressions,ctr,bounce_rate,avg_session_duration_sec,new_users,returning_users,conversions,conversion_rate,ad_spend_usd,organic_search,referral_traffic,promo_flag,holiday_flag
2020-03-09,2372,2298,103,2729,0.0377,0.3454,199.6,702,1596,3,0.0291,2.48,1421,117,0,0
2020-03-10,2438,2434,114,3393,0.0336,0.3838,200.0,750,1684,3,0.0263,6.35,1282,286,0,0
2020-03-11,2686,2611,144,4331,0.0332,0.4974,173.9,808,1803,5,0.0347,8.03,1530,241,0,0
2020-03-12,2587,2563,149,3202,0.0465,0.379,163.3,513,2050,3,0.0201,5.51,1660,259,0,0
2020-03-13,2155,2076,100,3236,0.0309,0.3446,133.3,712,1364,4,0.04,5.07,1129,148,0,0
2020-03-14,2088,2081,98,2557,0.0383,0.2379,145.2,670,1411,3,0.0306,3.71,1288,219,0,0
2020-03-15,1636,1637,87,2608,0.0334,0.2688,200.0,549,1088,4,0.046,4.41,939,242,0,0
2020-03-16,2303,2301,163,3435,0.0475,0.3747,200.0,466,1835,4,0.0245,3.95,1164,132,0,0
2020-03-17,2440,2463,119,2899,0.041,0.4427,200.0,838,1625,6,0.0504,6.41,1513,193,0,0
2020-03-18,2463,2471,148,4282,0.0346,0.3477,171.7,794,1677,4,0.027,7.21,1298,184,0,0
2020-03-19,2271,2332,126,3155,0.0399,0.3373,157.1,759,1573,6,0.0476,4.0,1387,175,0,0
2020-03-20,1760,1792,107,2398,0.0446,0.3531,120.5,383,1409,5,0.0467,3.54,919,157,0,0
2020-03-21,1755,1821,138,2805,0.0492,0.2459,200.0,566,1255,7,0.0507,5.63,1169,240,0,0
2020-03-22,1892,1946,116,3366,0.0345,0.2456,195.4,669,1277,4,0.0345,3.51,1058,275,0,0
2020-03-23,2234,2325,144,3015,0.0478,0.2821,200.0,702,1623,6,0.0417,3.74,1241,163,0,0
2020-03-24,2305,2329,171,3522,0.0486,0.3742,182.0,665,1664,5,0.0292,6.41,1210,243,1,0
2020-03-25,2289,2347,180,3722,0.0484,0.3464,179.5,802,1545,5,0.0278,4.74,1507,267,0,0
2020-03-26,2186,2202,154,3608,0.0427,0.3883,126.9,587,1615,5,0.0325,7.18,1336,225,1,0
2020-03-27,2029,2088,137,3206,0.0427,0.2767,162.0,605,1483,3,0.0219,3.19,1276,195,0,0
2020-03-28,1809,1839,100,2624,0.0381,0.2042,166.2,499,1340,5,0.05,5.1,1057,127,0,0
2020-03-29,1797,1790,108,2389,0.0452,0.2684,199.3,608,1182,2,0.0185,2.16,1022,177,0,0
2020-03-30,2107,2153,133,3267,0.0407,0.3682,200.0,455,1698,5,0.0376,2.68,1112,194,1,0
2020-03-31,2314,2340,131,3008,0.0436,0.5328,174.1,644,1696,5,0.0382,6.46,1367,303,0,0
2020-04-01,2530,2495,88,2285,0.0385,0.3719,159.6,756,1739,3,0.0341,3.82,1340,315,0,0
2020-04-02,2179,2118,150,3362,0.0446,0.4514,162.1,675,1443,6,0.04,4.46,1369,134,0,0
2020-04-03,1916,1886,147,3170,0.0464,0.3553,194.9,542,1344,3,0.0204,3.64,1168,111,0,0
2020-04-04,1712,1704,58,1751,0.0331,0.2136,170.6,573,1131,2,0.0345,3.02,958,240,0,0
2020-04-05,1662,1628,99,2113,0.0469,0.282,200.0,556,1072,3,0.0303,3.3,851,169,0,0
2020-04-06,2178,2071,137,3363,0.0407,0.3271,200.0,434,1637,7,0.0511,7.69,1279,281,0,0
2020-04-07,2306,2296,206,4389,0.0469,0.4375,200.0,598,1698,9,0.0437,9.98,1190,128,0,0
2020-04-08,2381,2315,134,3482,0.0385,0.5229,138.4,471,1844,7,0.0522,6.1,1223,238,0,0
2020-04-09,2164,2113,108,2862,0.0377,0.4237,154.9,527,1586,2,0.0185,4.19,1124,220,0,1
2020-04-10,1711,1702,120,2491,0.0482,0.332,120.5,477,1225,3,0.025,3.83,993,232,0,0
2020-04-11,1680,1652,103,2932,0.0351,0.231,123.2,556,1096,3,0.0291,5.35,1021,99,0,0
2020-04-12,1687,1712,110,2347,0.0469,0.1976,200.0,560,1152,2,0.0182,2.24,937,127,0,0
2020-04-13,1911,1882,100,2522,0.0397,0.3396,200.0,412,1470,3,0.03,3.26,965,171,0,0
2020-04-14,2205,2182,123,3062,0.0402,0.4885,193.0,467,1715,5,0.0407,2.8,1243,298,0,0
2020-04-15,2257,2298,109,3009,0.0362,0.3711,171.2,663,1635,3,0.0275,2.74,1407,331,0,0
2020-04-16,2314,2308,146,3519,0.0415,0.3406,200.0,646,1662,5,0.0342,3.85,1231,345,0,0
2020-04-17,1801,1841,123,3360,0.0366,0.3129,147.8,442,1399,6,0.0488,5.13,981,269,0,0
2020-04-18,1634,1686,81,2638,0.0307,0.2033,183.5,565,1121,3,0.037,5.22,1083,85,0,0
2020-04-19,1630,1696,87,2458,0.0354,0.2322,185.7,575,1121,3,0.0345,3.76,1091,93,0,0
2020-04-20,1670,1693,74,2441,0.0303,0.3288,200.0,441,1252,2,0.027,3.18,1098,110,1,0
2020-04-21,2039,2137,126,2537,0.0497,0.3599,193.9,713,1424,4,0.0317,2.34,1327,181,1,0
2020-04-22,2097,2194,181,3679,0.0492,0.3988,165.1,565,1629,5,0.0276,5.98,1159,292,0,0
2020-04-23,2252,2319,130,3442,0.0378,0.4286,189.3,720,1599,5,0.0385,4.15,1233,323,0,0
2020-04-24,1682,1746,114,2556,0.0446,0.2412,176.5,474,1272,4,0.0351,4.4,962,120,0,0
2020-04-25,1620,1645,130,3518,0.037,0.1726,176.1,359,1286,6,0.0462,7.97,901,184,1,0
2020-04-26,1613,1653,112,2578,0.0434,0.2403,152.6,561,1092,5,0.0446,2.49,1064,234,0,0
2020-04-27,1698,1730,108,2335,0.0463,0.3866,200.0,464,1266,4,0.037,2.61,1070,167,0,0
2020-04-28,2149,2218,154,3138,0.0491,0.4183,200.0,688,1530,5,0.0325,4.74,1350,134,0,0
2020-04-29,2200,2217,146,3835,0.0381,0.4243,168.7,566,1651,4,0.0274,8.64,1170,212,0,0
2020-04-30,1991,2063,143,3141,0.0455,0.3956,175.0,418,1645,6,0.042,6.15,1313,181,0,0
2020-05-01,1630,1612,69,1954,0.0353,0.2193,181.8,347,1265,2,0.029,4.2,1006,174,0,0
2020-05-02,1775,1734,145,2920,0.0497,0.2772,177.7,476,1258,4,0.0276,3.8,910,163,0,0
2020-05-03,1450,1444,60,1973,0.0304,0.291,181.9,438,1006,2,0.0333,4.51,911,75,0,0
2020-05-04,1938,1890,149,3543,0.0421,0.3295,161.3,473,1417,4,0.0268,3.38,1022,282,0,0
2020-05-05,2318,2288,170,3926,0.0433,0.4785,200.0,696,1592,7,0.0412,3.45,1172,239,0,0
2020-05-06,2036,1951,120,2752,0.0436,0.3911,157.0,595,1356,3,0.025,5.73,1168,190,0,0
2020-05-07,1905,1848,105,3245,0.0324,0.4498,156.5,565,1283,4,0.0381,7.11,1105,269,0,0
2020-05-08,1707,1688,125,2555,0.0489,0.3143,128.0,462,1226,4,0.032,2.39,868,111,0,0
2020-05-09,1547,1464,82,2446,0.0335,0.2357,168.0,494,970,3,0.0366,2.37,802,101,0,0
2020-05-10,1453,1385,94,2212,0.0425,0.2708,199.4,379,1006,4,0.0426,1.88,899,181,0,0
2020-05-11,1806,1781,82,2370,0.0346,0.3446,200.0,476,1305,4,0.0488,2.27,1072,136,0,0
2020-05-12,1890,1846,91,2531,0.036,0.4892,176.4,424,1422,3,0.033,2.82,1125,240,0,0
2020-05-13,2110,2075,145,3540,0.041,0.3937,197.3,511,1564,3,0.0207,7.98,1104,160,0,0
2020-05-14,1756,1758,97,2519,0.0385,0.3553,141.0,363,1395,3,0.0309,4.54,900,94,0,0
2020-05-15,1822,1820,86,2583,0.0333,0.3584,119.5,537,1283,3,0.0349,5.08,986,185,0,0
2020-05-16,1391,1394,61,1825,0.0334,0.2227,171.1,331,1063,2,0.0328,3.58,749,97,0,0
2020-05-17,1453,1494,91,2368,0.0384,0.3168,199.4,367,1127,4,0.044,3.79,800,188,0,0
2020-05-18,1839,1828,158,3496,0.0452,0.435,200.0,577,1251,4,0.0253,6.98,967,209,0,0
2020-05-19,1684,1780,110,2290,0.048,0.4081,200.0,443,1337,4,0.0364,3.88,1043,253,0,0
2020-05-20,1976,1999,95,3008,0.0316,0.4816,168.6,472,1527,2,0.0211,3.83,1098,256,0,0
2020-05-21,1899,1983,134,3535,0.0379,0.3357,150.6,447,1536,6,0.0448,5.8,1236,135,0,0
2020-05-22,1348,1405,67,2085,0.0321,0.3443,130.9,444,961,2,0.0299,3.34,741,183,0,0
2020-05-23,1379,1477,71,2349,0.0302,0.2625,189.7,324,1153,3,0.0423,4.78,841,169,0,0
2020-05-24,1444,1531,85,1971,0.0431,0.2955,200.0,410,1121,2,0.0235,4.48,769,179,1,0
2020-05-25,1742,1788,119,2835,0.042,0.3177,200.0,494,1294,4,0.0336,4.02,1023,238,0,0
2020-05-26,1704,1739,85,2543,0.0334,0.3451,160.6,527,1212,3,0.0353,4.95,884,187,0,0
2020-05-27,1775,1773,104,3009,0.0346,0.4727,200.0,523,1250,3,0.0288,2.86,1147,171,0,0
2020-05-28,1820,1852,98,3218,0.0305,0.2902,128.4,596,1256,4,0.0408,6.32,1146,211,0,0
2020-05-29,1610,1602,151,3233,0.0467,0.2907,141.1,331,1271,6,0.0397,4.39,919,128,0,0
2020-05-30,1457,1457,117,2354,0.0497,0.2996,180.5,356,1101,4,0.0342,2.02,747,99,0,0
2020-05-31,1541,1513,77,2368,0.0325,0.2814,174.8,366,1147,2,0.026,3.18,891,169,0,0
2020-06-01,1570,1582,84,2435,0.0345,0.4474,180.1,351,1231,3,0.0357,4.18,971,116,0,0
2020-06-02,1914,1882,127,2690,0.0472,0.4794,156.2,458,1424,5,0.0394,2.63,995,109,0,0
2020-06-03,1981,1933,147,3030,0.0485,0.4148,187.7,476,1457,5,0.034,6.62,1131,97,0,0
2020-06-04,1702,1674,93,2412,0.0386,0.3948,142.1,466,1208,4,0.043,2.21,1041,186,0,0
2020-06-05,1824,1765,84,2707,0.031,0.3042,200.0,529,1236,3,0.0357,5.94,1086,152,0,0
2020-06-06,1525,1461,79,2577,0.0307,0.1734,153.4,376,1085,2,0.0253,4.8,906,183,0,0
2020-06-07,1340,1306,70,1696,0.0413,0.2248,180.3,402,904,2,0.0286,2.2,825,114,0,0
2020-06-08,1789,1718,112,2969,0.0377,0.322,198.7,430,1288,2,0.0179,4.12,1101,169,0,0
2020-06-09,1685,1711,92,3017,0.0305,0.3264,200.0,417,1294,3,0.0326,5.77,960,155,0,0
2020-06-10,1946,1966,121,2903,0.0417,0.4499,163.9,553,1413,5,0.0413,4.94,1151,226,0,0
2020-06-11,1874,1876,61,2018,0.0302,0.3809,165.2,382,1494,3,0.0492,3.65,1160,161,0,0
2020-06-12,1452,1423,90,1962,0.0459,0.223,133.4,302,1121,2,0.0222,2.71,860,208,0,0
2020-06-13,1491,1503,96,2644,0.0363,0.2727,145.7,395,1108,5,0.0521,4.05,976,216,0,0
2020-06-14,1443,1483,68,2218,0.0307,0.3076,162.7,506,977,2,0.0294,5.07,745,200,0,0
2020-06-15,1707,1720,93,2236,0.0416,0.3614,165.5,530,1190,4,0.043,2.51,952,244,1,0
2020-06-16,2020,2037,108,2850,0.0379,0.412,188.3,434,1603,4,0.037,4.07,1104,193,0,0
2020-06-17,1777,1825,151,3044,0.0496,0.4771,167.3,597,1228,6,0.0397,3.77,984,189,0,0
2020-06-18,1558,1631,107,2625,0.0408,0.4274,140.3,505,1126,2,0.0187,5.11,870,203,0,0
2020-06-19,1360,1403,72,2037,0.0353,0.322,177.8,409,994,2,0.0278,3.96,851,168,0,0
2020-06-20,1255,1279,81,1825,0.0444,0.2113,197.9,413,866,2,0.0247,2.26,656,178,0,0
2020-06-21,1328,1414,71,2010,0.0353,0.2856,192.0,369,1045,3,0.0423,1.85,864,172,0,0
2020-06-22,1650,1652,104,2173,0.0479,0.4098,174.1,385,1267,3,0.0288,1.78,998,247,0,0
2020-06-23,1767,1832,125,3340,0.0374,0.3984,187.4,507,1325,5,0.04,4.81,985,155,0,0
2020-06-24,1882,1944,114,2791,0.0408,0.5524,161.3,549,1395,3,0.0263,3.95,1046,259,1,0
2020-06-25,1682,1715,93,2990,0.0311,0.3671,139.8,481,1234,4,0.043,6.82,1019,205,0,0
2020-06-26,1652,1678,117,3028,0.0386,0.3082,139.0,478,1200,3,0.0256,4.56,1031,200,0,0
2020-06-27,1255,1342,106,2281,0.0465,0.2189,160.3,459,883,3,0.0283,2.7,847,111,0,0
2020-06-28,1732,1746,114,2468,0.0462,0.283,191.0,585,1161,3,0.0263,5.27,1096,224,0,0
2020-06-29,1701,1684,92,2662,0.0346,0.2629,197.3,558,1126,3,0.0326,4.09,1086,236,0,0
2020-06-30,1736,1695,87,2534,0.0343,0.4009,200.0,543,1152,3,0.0345,4.3,995,122,0,0
2020-07-01,1733,1716,105,2264,0.0464,0.3929,180.5,586,1130,5,0.0476,2.14,1092,193,1,0
2020-07-02,1792,1773,135,2775,0.0486,0.4002,134.8,381,1392,3,0.0222,3.81,1102,158,0,0
2020-07-03,1538,1479,60,1870,0.0321,0.3563,178.4,355,1124,2,0.0333,4.14,938,220,0,0
2020-07-04,1559,1462,99,2540,0.039,0.2848,153.7,401,1061,4,0.0404,4.28,734,143,0,1
2020-07-05,1530,1480,77,2082,0.037,0.1532,166.3,484,996,2,0.026,2.74,954,108,0,0
2020-07-06,1649,1605,117,2472,0.0473,0.4521,200.0,443,1162,6,0.0513,4.3,917,142,0,0
2020-07-07,1790,1703,84,2651,0.0317,0.4429,182.4,532,1171,4,0.0476,5.74,1055,196,0,0
2020-07-08,1685,1671,83,2420,0.0343,0.4087,179.8,369,1302,2,0.0241,2.93,867,96,0,0
2020-07-09,1715,1670,122,2701,0.0452,0.4012,104.9,397,1273,4,0.0328,4.21,934,184,0,0
2020-07-10,1727,1618,71,2273,0.0312,0.3154,180.8,501,1117,2,0.0282,5.09,875,232,0,0
2020-07-11,1454,1411,94,2362,0.0398,0.2192,186.8,317,1094,4,0.0426,2.5,767,191,0,0
2020-07-12,1327,1284,61,1580,0.0386,0.2817,168.7,324,960,2,0.0328,2.97,666,73,1,0
2020-07-13,1649,1648,92,2514,0.0366,0.3196,180.4,395,1253,4,0.0435,4.33,1023,246,0,0
2020-07-14,1885,1867,134,3524,0.038,0.408,200.0,471,1396,6,0.0448,6.41,936,224,0,0
2020-07-15,1790,1764,93,2293,0.0406,0.4132,158.6,540,1224,2,0.0215,3.04,965,117,0,0
2020-07-16,1694,1760,80,2401,0.0333,0.3218,136.3,449,1311,4,0.05,3.05,926,90,0,0
2020-07-17,1506,1538,102,2465,0.0414,0.3139,107.6,436,1102,4,0.0392,4.5,905,103,0,0
2020-07-18,1237,1264,89,1941,0.0459,0.2818,166.3,272,992,3,0.0337,2.18,680,169,1,0
2020-07-19,1449,1494,106,2346,0.0452,0.2976,194.2,479,1015,5,0.0472,3.35,805,78,0,0
2020-07-20,1653,1715,91,2740,0.0332,0.391,200.0,438,1277,4,0.044,2.97,983,126,1,0
2020-07-21,1967,1975,106,3213,0.033,0.4444,170.7,587,1388,3,0.0283,2.61,1181,248,0,0
2020-07-22,1979,2023,123,3483,0.0353,0.4209,142.9,625,1398,4,0.0325,7.85,1048,220,0,0
2020-07-23,1532,1601,94,2533,0.0371,0.4354,162.0,371,1230,3,0.0319,3.67,843,205,0,0
2020-07-24,1428,1442,80,2093,0.0382,0.2387,173.1,480,962,2,0.025,4.72,774,180,0,0
2020-07-25,1490,1485,106,2427,0.0437,0.2075,141.9,434,1051,5,0.0472,2.45,959,82,0,0
2020-07-26,1542,1537,90,2890,0.0311,0.2236,200.0,406,1131,2,0.0222,4.86,860,214,0,0
2020-07-27,1704,1737,79,2559,0.0309,0.404,200.0,395,1342,3,0.038,2.82,1025,126,0,0
2020-07-28,2318,2340,116,3054,0.038,0.4753,200.0,799,1541,4,0.0345,6.06,1255,246,1,0
2020-07-29,1969,2000,151,3443,0.0439,0.4719,171.9,627,1373,3,0.0199,6.8,1147,229,0,0
2020-07-30,1954,1936,97,2857,0.034,0.447,102.5,448,1488,5,0.0515,2.77,990,129,1,0
2020-07-31,1752,1699,78,1810,0.0431,0.2626,149.9,426,1273,4,0.0513,3.92,858,251,0,0
2020-08-01,1576,1530,90,2554,0.0352,0.2699,194.5,492,1038,3,0.0333,2.79,873,151,0,0
2020-08-02,1558,1468,98,2045,0.0479,0.2656,180.8,447,1021,3,0.0306,3.52,822,82,0,0
2020-08-03,1787,1802,128,2670,0.0479,0.3923,200.0,567,1235,3,0.0234,6.08,938,259,1,0
2020-08-04,1877,1825,103,2859,0.036,0.4224,195.2,486,1339,3,0.0291,6.07,1101,198,0,0
2020-08-05,2021,1946,104,2993,0.0347,0.4282,115.3,598,1348,3,0.0288,6.69,1263,233,0,0
2020-08-06,1814,1783,112,2927,0.0383,0.4204,186.4,460,1323,4,0.0357,3.85,997,183,0,0
2020-08-07,1645,1631,80,2304,0.0347,0.3504,134.9,378,1253,4,0.05,2.21,968,218,0,0
2020-08-08,1771,1764,123,2827,0.0435,0.2191,183.4,520,1244,5,0.0407,3.06,1137,94,0,0
2020-08-09,1358,1318,89,1909,0.0466,0.2688,197.0,457,861,4,0.0449,2.96,823,101,0,0
2020-08-10,1828,1836,131,3025,0.0433,0.2971,200.0,453,1383,5,0.0382,6.02,1046,178,1,0
2020-08-11,1838,1773,134,2878,0.0466,0.3033,200.0,477,1296,5,0.0373,2.95,1083,102,0,0
2020-08-12,1995,1969,98,2585,0.0379,0.4575,168.6,593,1376,4,0.0408,4.63,1022,237,0,0
2020-08-13,2014,2020,115,3469,0.0332,0.4238,135.1,568,1452,4,0.0348,4.46,1165,181,0,0
2020-08-14,1659,1672,104,2329,0.0447,0.3197,168.9,546,1126,5,0.0481,3.06,906,129,0,0
2020-08-15,1409,1397,86,2321,0.0371,0.155,135.9,439,958,2,0.0233,4.16,732,70,0,0
2020-08-16,1510,1499,102,2359,0.0432,0.2543,200.0,313,1186,2,0.0196,3.54,845,183,0,0
2020-08-17,1819,1884,125,3519,0.0355,0.2391,188.0,659,1225,6,0.048,7.1,979,251,0,0
2020-08-18,1869,1934,89,2815,0.0316,0.4967,200.0,605,1329,3,0.0337,2.91,1170,173,0,0
2020-08-19,2051,2109,150,3016,0.0497,0.3932,176.6,695,1414,7,0.0467,5.99,1199,224,0,0
2020-08-20,1881,1949,97,2916,0.0333,0.4562,165.9,580,1369,5,0.0515,2.61,1130,142,0,0
2020-08-21,1531,1635,117,2353,0.0497,0.3539,154.6,537,1098,3,0.0256,2.57,853,183,0,0
2020-08-22,1757,1829,150,3036,0.0494,0.2075,138.3,397,1432,5,0.0333,5.42,953,94,0,1
2020-08-23,1644,1708,92,2010,0.0458,0.2152,181.5,431,1277,3,0.0326,4.19,1003,169,1,0
2020-08-24,1541,1614,90,2081,0.0432,0.3675,200.0,535,1079,3,0.0333,2.45,1045,185,0,0
2020-08-25,2090,2106,113,2709,0.0417,0.386,200.0,485,1621,5,0.0442,3.5,1083,299,0,0
2020-08-26,2044,2068,165,3495,0.0472,0.4526,196.9,438,1630,5,0.0303,5.61,1123,182,0,0
2020-08-27,2114,2106,139,3880,0.0358,0.3692,161.0,670,1436,5,0.036,4.34,1328,266,0,0
2020-08-28,1642,1672,97,2473,0.0392,0.2176,133.6,544,1128,4,0.0412,4.99,854,184,0,0
2020-08-29,1636,1607,100,2356,0.0424,0.141,157.4,361,1246,2,0.02,4.62,1015,229,1,0
2020-08-30,1769,1744,101,2640,0.0383,0.2832,200.0,572,1172,4,0.0396,2.69,1009,157,0,0
2020-08-31,2033,2020,135,3499,0.0386,0.3219,163.7,612,1408,5,0.037,5.23,1134,165,0,0
2020-09-01,2092,2007,97,2638,0.0368,0.4005,200.0,558,1449,5,0.0515,5.18,1097,278,0,0
